  32  12981 150.41151 1.949576   0.9571 106.8  12.6    4.5485  -99.0000  -99.0000  -99.0000  -99.0000      1.3670  -99.0000  -99.0000    5.0958    0.8765   11.19
  33  13081 150.40688 1.952889   0.8681 119.1  18.6    7.3830  -99.0000  -99.0000  -99.0000  -99.0000      1.1764  -99.0000  -99.0000    0.9214    0.1585   10.81
  34  13315 150.42644 1.955161   0.8578 146.3  27.8    6.6100  -99.0000  -99.0000  -99.0000  -99.0000      1.3189  -99.0000  -99.0000    3.5883    0.6172   11.30
  35  13570 150.42397 1.958286   0.9709 149.1  13.6    3.0341  -99.0000  -99.0000  -99.0000  -99.0000      1.4488  -99.0000  -99.0000    4.8943    0.8418   11.45
  36  13719 150.42451 1.961566   0.9746 158.6  33.5    7.5615  -99.0000  -99.0000  -99.0000  -99.0000      1.2661  -99.0000  -99.0000    0.5334    0.0917   11.54
  37  13987 150.38676 1.966632   0.9044 -99.0 -99.0    0.5808  -99.0000  -99.0000  -99.0000  -99.0000      1.0716  -99.0000  -99.0000    0.2000    0.0344  -99.00
  38  14375 150.39641 1.971416   0.8279 268.9   8.6    0.3001  -99.0000  -99.0000  -99.0000  -99.0000      1.7511  -99.0000  -99.0000    3.6732    0.6318   11.37
  39  14729 150.41814 1.976709   0.8644 241.8  21.3    3.9446  -99.0000  -99.0000  -99.0000  -99.0000      1.3143  -99.0000  -99.0000    2.3972    0.4123   11.93
  40  24979 150.00226 1.747992   0.7319 170.8  34.7    6.9843  -99.0000  -99.0000  -99.0000  -99.0000      1.1912  -99.0000  -99.0000    0.4440    0.0764   11.40
  41  25061 150.27940 1.748222   0.9884 162.7  22.6    3.4184  -99.0000  -99.0000  -99.0000  -99.0000      1.2793  -99.0000  -99.0000    2.1196    0.3646   11.03
  42  25115 150.36127 1.749571   0.8363 100.9  22.0    5.6818  -99.0000  -99.0000  -99.0000  -99.0000      1.3418  276.5032  -99.0000    0.5480    0.0943   11.11
  43  25243 150.07368 1.748954   0.6294 124.2   7.6    2.2999    3.7178  -99.0000  -99.0000  -99.0000      1.4772  650.9747  138.0416    1.0637    0.1830   11.50
  44  25263 149.99612 1.751261 -99.0000 -99.0 -99.0  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000    -99.0000  -99.0000  -99.0000    1.0020    0.1766  -99.00
  45  25263 149.99612 1.751261 -99.0000 -99.0 -99.0  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000    -99.0000  -99.0000  -99.0000    1.0020    0.1766  -99.00
  46  25280 150.25542 1.752925   0.8903 -99.0 -99.0   -5.1978  -99.0000  -99.0000  -99.0000  -99.0000      1.1580  -99.0000  -99.0000    1.7666    0.3039  -99.00
  47  25285 150.24188 1.750420   0.6123 154.7   8.7   -0.5027    2.1465    3.4802    2.2424  -99.0000      1.7711    8.1073    9.1231    3.2036    0.5510   11.38
  48  25343 150.32669 1.752670   0.6954 163.6  36.2    6.8194    6.4203  -99.0000  -99.0000  -99.0000      1.1521  352.8534  -99.0000    0.6050    0.1041   11.21
  49  25361 150.12746 1.752197   0.7928  69.9  10.2    3.6277    5.8261  -99.0000  -99.0000  -99.0000      1.3183  229.0487   33.5567    2.0146    0.3465   10.75
  50  25457 150.34900 1.754257   0.8922 140.0  20.5    5.8902  -99.0000  -99.0000  -99.0000  -99.0000      1.3369  -99.0000  -99.0000    1.0765    0.1852   11.11
  51  25478 150.09679 1.754770   1.1477 -99.0 -99.0    2.5148  -99.0000  -99.0000  -99.0000  -99.0000      1.0012  -99.0000  -99.0000    1.5337    0.2638  -99.00
  52  25500 149.94028 1.753767   0.8041 183.4  25.8    5.9082  -99.0000  -99.0000  -99.0000  -99.0000      1.1998  386.8143  -99.0000    0.6442    0.1108   11.25
